date,product,unit_type,unit_measure,consumed,restocked,stock_balance,lead_time_days
2025-09-11,Steel Tubing,weight,kg,81.39,0.0,1885.82,14
2025-09-12,Steel Tubing,weight,kg,69.42,0.0,1816.4,14
2025-09-13,Steel Tubing,weight,kg,34.79,0.0,1781.61,14
2025-09-15,Steel Tubing,weight,kg,74.41,0.0,1707.2,14
2025-09-16,Steel Tubing,weight,kg,74.62,0.0,1632.58,14
2025-09-17,Steel Tubing,weight,kg,98.04,0.0,1534.54,14
2025-09-18,Steel Tubing,weight,kg,80.98,0.0,1453.56,14
2025-09-19,Steel Tubing,weight,kg,95.68,0.0,1357.88,14
2025-09-20,Steel Tubing,weight,kg,36.98,0.0,1320.9,14
2025-09-22,Steel Tubing,weight,kg,70.77,0.0,1250.13,14
2025-09-23,Steel Tubing,weight,kg,75.03,0.0,1175.1,14
2025-09-24,Steel Tubing,weight,kg,90.32,0.0,1084.78,14
2025-09-25,Steel Tubing,weight,kg,72.62,0.0,1012.16,14
2025-09-26,Steel Tubing,weight,kg,77.35,0.0,934.81,14
2025-09-27,Steel Tubing,weight,kg,41.13,0.0,893.68,14
2025-09-29,Steel Tubing,weight,kg,71.36,0.0,822.32,14
2025-09-30,Steel Tubing,weight,kg,78.07,0.0,744.25,14
2025-10-01,Steel Tubing,weight,kg,79.51,0.0,664.74,14
2025-10-03,Steel Tubing,weight,kg,101.41,0.0,563.33,14
2025-10-04,Steel Tubing,weight,kg,48.57,1656.95,2171.71,14
2025-10-06,Steel Tubing,weight,kg,89.46,0.0,2082.25,14
2025-10-07,Steel Tubing,weight,kg,103.13,0.0,1979.12,14
2025-10-08,Steel Tubing,weight,kg,101.28,0.0,1877.84,14
2025-10-09,Steel Tubing,weight,kg,98.34,0.0,1779.5,14
2025-10-10,Steel Tubing,weight,kg,124.91,0.0,1654.59,14
2025-10-11,Steel Tubing,weight,kg,56.49,0.0,1598.1,14
2025-10-13,Steel Tubing,weight,kg,78.24,0.0,1519.86,14
2025-10-14,Steel Tubing,weight,kg,106.15,0.0,1413.71,14
2025-10-15,Steel Tubing,weight,kg,93.06,0.0,1320.65,14
2025-10-16,Steel Tubing,weight,kg,96.42,0.0,1224.23,14
2025-10-17,Steel Tubing,weight,kg,101.05,0.0,1123.18,14
2025-10-18,Steel Tubing,weight,kg,56.04,0.0,1067.14,14
2025-10-20,Steel Tubing,weight,kg,100.62,0.0,966.52,14
2025-10-21,Steel Tubing,weight,kg,92.38,0.0,874.14,14
2025-10-22,Steel Tubing,weight,kg,103.16,0.0,770.98,14
2025-10-23,Steel Tubing,weight,kg,88.63,0.0,682.35,14
2025-10-25,Steel Tubing,weight,kg,50.83,0.0,631.52,14
2025-10-27,Steel Tubing,weight,kg,116.37,0.0,2172.1,14
2025-10-28,Steel Tubing,weight,kg,96.06,0.0,2076.04,14
2025-10-29,Steel Tubing,weight,kg,92.35,0.0,1983.69,14
2025-10-30,Steel Tubing,weight,kg,108.32,0.0,1875.37,14
2025-10-31,Steel Tubing,weight,kg,112.76,0.0,1762.61,14
2025-11-01,Steel Tubing,weight,kg,45.33,0.0,1717.28,14
2025-11-03,Steel Tubing,weight,kg,101.89,0.0,1615.39,14
2025-11-04,Steel Tubing,weight,kg,98.57,0.0,1516.82,14
2025-11-05,Steel Tubing,weight,kg,98.05,0.0,1418.77,14
2025-11-06,Steel Tubing,weight,kg,121.03,0.0,1297.74,14
2025-11-07,Steel Tubing,weight,kg,119.87,0.0,1177.87,14
2025-11-08,Steel Tubing,weight,kg,52.35,0.0,1125.52,14
2025-11-10,Steel Tubing,weight,kg,98.58,0.0,1026.94,14
2025-11-11,Steel Tubing,weight,kg,135.24,0.0,891.7,14
2025-11-12,Steel Tubing,weight,kg,111.24,0.0,780.46,14
2025-11-13,Steel Tubing,weight,kg,113.51,0.0,666.95,14
2025-11-14,Steel Tubing,weight,kg,109.26,0.0,557.69,14
2025-11-15,Steel Tubing,weight,kg,52.03,1656.95,2162.61,14
2025-11-17,Steel Tubing,weight,kg,102.77,0.0,2059.84,14
2025-11-18,Steel Tubing,weight,kg,112.67,0.0,1947.17,14
2025-11-19,Steel Tubing,weight,kg,108.97,0.0,1838.2,14
2025-11-20,Steel Tubing,weight,kg,100.11,0.0,1738.09,14
2025-11-21,Steel Tubing,weight,kg,110.37,0.0,1627.72,14
2025-11-22,Steel Tubing,weight,kg,67.0,0.0,1560.72,14
2025-11-24,Steel Tubing,weight,kg,103.26,0.0,1457.46,14
2025-11-25,Steel Tubing,weight,kg,104.59,0.0,1352.87,14
2025-11-26,Steel Tubing,weight,kg,105.95,0.0,1246.92,14
2025-11-27,Steel Tubing,weight,kg,105.1,0.0,1141.82,14
2025-11-28,Steel Tubing,weight,kg,109.36,0.0,1032.46,14
2025-11-29,Steel Tubing,weight,kg,55.44,0.0,977.02,14
2025-12-01,Steel Tubing,weight,kg,106.8,0.0,870.22,14
2025-12-02,Steel Tubing,weight,kg,108.25,0.0,761.97,14
2025-12-03,Steel Tubing,weight,kg,86.37,0.0,675.6,14
2025-12-04,Steel Tubing,weight,kg,105.9,0.0,569.7,14
2025-12-05,Steel Tubing,weight,kg,99.66,1656.95,2126.99,14
2025-12-06,Steel Tubing,weight,kg,52.1,0.0,2074.89,14
2025-12-08,Steel Tubing,weight,kg,100.79,0.0,1974.1,14
2025-12-09,Steel Tubing,weight,kg,104.39,0.0,1869.71,14
2025-12-10,Steel Tubing,weight,kg,85.11,0.0,1784.6,14
2025-12-11,Steel Tubing,weight,kg,115.71,0.0,1668.89,14
2025-12-12,Steel Tubing,weight,kg,107.43,0.0,1561.46,14
2025-12-13,Steel Tubing,weight,kg,48.66,0.0,1512.8,14
2025-12-15,Steel Tubing,weight,kg,89.47,0.0,1423.33,14
2025-12-16,Steel Tubing,weight,kg,77.75,0.0,1345.58,14
2025-12-17,Steel Tubing,weight,kg,93.69,0.0,1251.89,14
2025-12-18,Steel Tubing,weight,kg,89.79,0.0,1162.1,14
2025-12-19,Steel Tubing,weight,kg,101.1,0.0,1061.0,14
2025-12-20,Steel Tubing,weight,kg,35.96,0.0,1025.04,14
2025-12-22,Steel Tubing,weight,kg,79.47,0.0,945.57,14
2025-12-23,Steel Tubing,weight,kg,105.95,0.0,839.62,14
2025-12-24,Steel Tubing,weight,kg,117.37,0.0,722.25,14
2025-12-27,Steel Tubing,weight,kg,48.68,0.0,673.57,14
2025-12-29,Steel Tubing,weight,kg,89.03,0.0,584.54,14
2025-12-30,Steel Tubing,weight,kg,104.51,1656.95,2136.98,14
2025-12-31,Steel Tubing,weight,kg,131.19,0.0,2005.79,14
2025-01-02,Aluminum Profile,weight,kg,28.95,0.0,771.05,14
2025-01-03,Aluminum Profile,weight,kg,26.7,0.0,744.35,14
2025-01-04,Aluminum Profile,weight,kg,11.97,0.0,732.38,14
2025-01-06,Aluminum Profile,weight,kg,24.25,0.0,708.13,14
2025-01-07,Aluminum Profile,weight,kg,26.66,0.0,681.47,14
2025-01-08,Aluminum Profile,weight,kg,26.19,0.0,655.28,14
2025-01-09,Aluminum Profile,weight,kg,16.97,0.0,638.31,14
2025-01-10,Aluminum Profile,weight,kg,21.33,0.0,616.98,14
2025-01-11,Aluminum Profile,weight,kg,12.48,0.0,604.5,14
2025-01-13,Aluminum Profile,weight,kg,24.2,0.0,580.3,14
2025-01-14,Aluminum Profile,weight,kg,25.75,0.0,554.55,14
2025-01-15,Aluminum Profile,weight,kg,27.35,0.0,527.2,14
2025-01-16,Aluminum Profile,weight,kg,21.6,0.0,505.6,14
2025-01-17,Aluminum Profile,weight,kg,22.74,0.0,482.86,14
2025-01-18,Aluminum Profile,weight,kg,12.52,0.0,470.34,14
2025-01-20,Aluminum Profile,weight,kg,26.23,0.0,444.11,14
2025-01-21,Aluminum Profile,weight,kg,23.56,0.0,420.55,14
2025-01-22,Aluminum Profile,weight,kg,24.15,0.0,396.4,14
2025-01-23,Aluminum Profile,weight,kg,25.62,0.0,370.78,14
2025-01-24,Aluminum Profile,weight,kg,22.44,0.0,348.34,14
2025-01-25,Aluminum Profile,weight,kg,12.96,0.0,335.38,14
2025-01-27,Aluminum Profile,weight,kg,26.19,0.0,309.19,14
2025-01-28,Aluminum Profile,weight,kg,18.82,0.0,290.37,14
2025-01-29,Aluminum Profile,weight,kg,20.04,0.0,270.33,14
2025-01-30,Aluminum Profile,weight,kg,25.5,0.0,244.83,14
2025-01-31,Aluminum Profile,weight,kg,23.12,0.0,221.71,14
2025-02-01,Aluminum Profile,weight,kg,11.82,0.0,209.89,14
2025-02-03,Aluminum Profile,weight,kg,18.56,0.0,191.33,14
2025-02-04,Aluminum Profile,weight,kg,22.27,0.0,169.06,14
2025-02-05,Aluminum Profile,weight,kg,25.03,428.78,572.81,14
2025-02-06,Aluminum Profile,weight,kg,25.63,0.0,547.18,14
2025-02-07,Aluminum Profile,weight,kg,26.89,0.0,520.29,14
2025-02-08,Aluminum Profile,weight,kg,9.95,0.0,510.34,14
2025-02-10,Aluminum Profile,weight,kg,22.3,0.0,488.04,14
2025-02-11,Aluminum Profile,weight,kg,23.29,0.0,464.75,14
2025-02-12,Aluminum Profile,weight,kg,23.68,0.0,441.07,14
2025-02-13,Aluminum Profile,weight,kg,26.29,0.0,414.78,14
2025-02-14,Aluminum Profile,weight,kg,23.71,0.0,391.07,14
2025-02-15,Aluminum Profile,weight,kg,11.49,0.0,379.58,14
2025-02-17,Aluminum Profile,weight,kg,25.21,0.0,354.37,14
2025-02-18,Aluminum Profile,weight,kg,26.44,0.0,327.93,14
2025-02-19,Aluminum Profile,weight,kg,24.55,0.0,303.38,14
2025-02-20,Aluminum Profile,weight,kg,22.99,0.0,280.39,14
2025-02-21,Aluminum Profile,weight,kg,23.46,0.0,256.93,14
2025-02-22,Aluminum Profile,weight,kg,11.9,0.0,245.03,14
2025-02-24,Aluminum Profile,weight,kg,22.59,0.0,222.44,14
2025-02-25,Aluminum Profile,weight,kg,26.71,0.0,195.73,14
2025-02-26,Aluminum Profile,weight,kg,24.06,0.0,171.67,14
2025-02-27,Aluminum Profile,weight,kg,20.87,0.0,150.8,14
2025-02-28,Aluminum Profile,weight,kg,22.25,428.78,557.33,14
2025-03-01,Aluminum Profile,weight,kg,10.91,0.0,546.42,14
2025-03-03,Aluminum Profile,weight,kg,22.29,0.0,524.13,14
2025-03-04,Aluminum Profile,weight,kg,23.28,0.0,500.85,14
2025-03-05,Aluminum Profile,weight,kg,25.93,0.0,474.92,14
2025-03-06,Aluminum Profile,weight,kg,21.97,0.0,452.95,14
2025-03-07,Aluminum Profile,weight,kg,25.44,0.0,427.51,14
2025-03-08,Aluminum Profile,weight,kg,13.09,0.0,414.42,14
2025-03-10,Aluminum Profile,weight,kg,23.83,0.0,390.59,14
2025-03-11,Aluminum Profile,weight,kg,26.09,0.0,364.5,14
2025-03-12,Aluminum Profile,weight,kg,20.4,0.0,344.1,14
2025-03-13,Aluminum Profile,weight,kg,27.24,0.0,316.86,14
2025-03-14,Aluminum Profile,weight,kg,21.21,0.0,295.65,14
2025-03-15,Aluminum Profile,weight,kg,11.66,0.0,283.99,14
2025-03-17,Aluminum Profile,weight,kg,19.08,0.0,264.91,14
2025-03-18,Aluminum Profile,weight,kg,23.9,0.0,241.01,14
2025-03-19,Aluminum Profile,weight,kg,26.34,0.0,214.67,14
2025-03-20,Aluminum Profile,weight,kg,17.82,0.0,196.85,14
2025-03-21,Aluminum Profile,weight,kg,22.77,0.0,174.08,14
2025-03-22,Aluminum Profile,weight,kg,11.29,0.0,162.79,14
2025-03-24,Aluminum Profile,weight,kg,24.3,0.0,567.27,14
2025-03-25,Aluminum Profile,weight,kg,19.75,0.0,547.52,14
2025-03-26,Aluminum Profile,weight,kg,29.83,0.0,517.69,14
2025-03-27,Aluminum Profile,weight,kg,25.09,0.0,492.6,14
2025-03-28,Aluminum Profile,weight,kg,22.58,0.0,470.02,14
2025-03-29,Aluminum Profile,weight,kg,10.46,0.0,459.56,14
2025-03-31,Aluminum Profile,weight,kg,24.53,0.0,435.03,14
2025-04-01,Aluminum Profile,weight,kg,25.35,0.0,409.68,14
2025-04-02,Aluminum Profile,weight,kg,19.93,0.0,389.75,14
2025-04-03,Aluminum Profile,weight,kg,21.86,0.0,367.89,14
2025-04-04,Aluminum Profile,weight,kg,23.24,0.0,344.65,14
2025-04-05,Aluminum Profile,weight,kg,11.86,0.0,332.79,14
2025-04-07,Aluminum Profile,weight,kg,19.74,0.0,313.05,14
